,0.05,0.1,0.2,r05,r10,r20
Benin,-0.26850943070972527,-0.6033979623882206,-0.7537842290694543,8.0,12.0,12.0
Côte d'Ivoire,0.16194660465076136,0.42551158886472557,0.4181130003938932,6.0,2.0,2.0
Egypt,0.37984205503509444,0.05108989198002072,-0.14500917592325357,3.0,6.0,9.0
Ghana,-0.5670167997491548,-0.22160811067812797,0.06636958539298106,12.0,8.0,7.0
Kenya,-0.351835990150856,-0.27915792661796796,-0.2836637247387548,10.0,10.0,10.0
Mauritius,-0.05291636745755933,0.2137678390514946,0.25249841430820585,7.0,4.0,4.0
Morocco,-0.3806403933474402,-0.22381464402832169,0.08248042586258647,11.0,9.0,6.0
Nigeria,0.4161513356001506,0.19568379008389714,0.20722456470922504,2.0,5.0,5.0
Rwanda,0.19566856934885166,0.5740492201008099,0.5389618890528459,4.0,1.0,1.0
Senegal,-0.3458971405166121,-0.15584657936439997,-0.12512569801254492,9.0,7.0,8.0
South Africa,0.5804569497268527,0.38136734581922943,0.37326007755196766,1.0,3.0,3.0
Zimbabwe,0.16618160262977427,-0.2830781612391033,-0.5790201014274825,5.0,11.0,11.0
