country,year,level,metric,score
Mauritius,2021,overall,Overall,52.71322634
Mauritius,2021,pillar,Government,68.52355201
Mauritius,2021,pillar,Technology Sector,33.81802847
Mauritius,2021,pillar,Data and Infrastructure,55.79809854
Mauritius,2021,dimension,Vision,100.0
Mauritius,2021,dimension,Governance and Ethics,60.58181
Mauritius,2021,dimension,Digital Capacity,52.5512725
Mauritius,2021,dimension,Adaptability,60.96112556
Mauritius,2021,dimension,Maturity,22.60965708
Mauritius,2021,dimension,Innovation Capacity,45.98503621
Mauritius,2021,dimension,Human Capital,32.85939213
Mauritius,2021,dimension,Infrastructure,36.14740846
Mauritius,2021,dimension,Data Availability,56.83961
Egypt,2021,overall,Overall,49.75186942
Egypt,2021,pillar,Government,62.71826833
Egypt,2021,pillar,Technology Sector,35.17151838
Egypt,2021,pillar,Data and Infrastructure,51.36582156
Egypt,2021,dimension,Vision,100.0
Egypt,2021,dimension,Governance and Ethics,34.3209725
Egypt,2021,dimension,Digital Capacity,50.6528875
Egypt,2021,dimension,Adaptability,65.89921333
Egypt,2021,dimension,Maturity,15.63336299
Egypt,2021,dimension,Innovation Capacity,44.93504399
Egypt,2021,dimension,Human Capital,44.94614816
Egypt,2021,dimension,Infrastructure,33.90108072
Egypt,2021,dimension,Data Availability,71.19791385
South Africa,2021,overall,Overall,48.23683389
South Africa,2021,pillar,Government,40.91705458
South Africa,2021,pillar,Technology Sector,39.13712123
South Africa,2021,pillar,Data and Infrastructure,64.65632586
South Africa,2021,dimension,Vision,0.0
South Africa,2021,dimension,Governance and Ethics,55.22487
South Africa,2021,dimension,Digital Capacity,45.369975
South Africa,2021,dimension,Adaptability,63.07337333
South Africa,2021,dimension,Maturity,26.43813056
South Africa,2021,dimension,Innovation Capacity,52.38122824
South Africa,2021,dimension,Human Capital,38.5920049
South Africa,2021,dimension,Infrastructure,57.43916967
South Africa,2021,dimension,Data Availability,65.961652
Kenya,2021,overall,Overall,45.53691503
Kenya,2021,pillar,Government,57.14643958
Kenya,2021,pillar,Technology Sector,28.74595369
Kenya,2021,pillar,Data and Infrastructure,50.7183518
Kenya,2021,dimension,Vision,50.0
Kenya,2021,dimension,Governance and Ethics,58.741755
Kenya,2021,dimension,Digital Capacity,55.06523
Kenya,2021,dimension,Adaptability,64.77877333
Kenya,2021,dimension,Maturity,12.6612531
Kenya,2021,dimension,Innovation Capacity,49.74512753
Kenya,2021,dimension,Human Capital,23.83148045
Kenya,2021,dimension,Infrastructure,33.58379943
Kenya,2021,dimension,Data Availability,63.11528877
Morocco,2021,overall,Overall,42.37957443
Morocco,2021,pillar,Government,42.13237729
Morocco,2021,pillar,Technology Sector,31.73915044
Morocco,2021,pillar,Data and Infrastructure,53.26719556
Morocco,2021,dimension,Vision,0.0
Morocco,2021,dimension,Governance and Ethics,56.184015
Morocco,2021,dimension,Digital Capacity,45.7880475
Morocco,2021,dimension,Adaptability,66.55744667
Morocco,2021,dimension,Maturity,20.35633639
Morocco,2021,dimension,Innovation Capacity,45.86033761
Morocco,2021,dimension,Human Capital,29.0007773
Morocco,2021,dimension,Infrastructure,35.85871032
Morocco,2021,dimension,Data Availability,63.637336
Ghana,2021,overall,Overall,40.19417706
Ghana,2021,pillar,Government,41.78334188
Ghana,2021,pillar,Technology Sector,24.75280282
Ghana,2021,pillar,Data and Infrastructure,54.04638649
Ghana,2021,dimension,Vision,0.0
Ghana,2021,dimension,Governance and Ethics,58.984875
Ghana,2021,dimension,Digital Capacity,43.6781625
Ghana,2021,dimension,Adaptability,64.47033
Ghana,2021,dimension,Maturity,8.162368964
Ghana,2021,dimension,Innovation Capacity,42.16603253
Ghana,2021,dimension,Human Capital,23.93000696
Ghana,2021,dimension,Infrastructure,30.98997105
Ghana,2021,dimension,Data Availability,63.899822
Cote d'Ivoire,2021,overall,Overall,36.70624068
Cote d'Ivoire,2021,pillar,Government,38.72628917
Cote d'Ivoire,2021,pillar,Technology Sector,22.29222149
Cote d'Ivoire,2021,pillar,Data and Infrastructure,49.10021139
Cote d'Ivoire,2021,dimension,Vision,0.0
Cote d'Ivoire,2021,dimension,Governance and Ethics,53.2441725
Cote d'Ivoire,2021,dimension,Digital Capacity,39.6794575
Cote d'Ivoire,2021,dimension,Adaptability,61.98152667
Cote d'Ivoire,2021,dimension,Maturity,11.04963303
Cote d'Ivoire,2021,dimension,Innovation Capacity,36.86708855
Cote d'Ivoire,2021,dimension,Human Capital,18.9599429
Cote d'Ivoire,2021,dimension,Infrastructure,29.05562463
Cote d'Ivoire,2021,dimension,Data Availability,59.797376
Senegal,2021,overall,Overall,36.33866393
Senegal,2021,pillar,Government,39.47343729
Senegal,2021,pillar,Technology Sector,28.31373279
Senegal,2021,pillar,Data and Infrastructure,41.22882171
Senegal,2021,dimension,Vision,0.0
Senegal,2021,dimension,Governance and Ethics,46.09159
Senegal,2021,dimension,Digital Capacity,44.6158725
Senegal,2021,dimension,Adaptability,67.18628667
Senegal,2021,dimension,Maturity,17.14008121
Senegal,2021,dimension,Innovation Capacity,44.49818333
Senegal,2021,dimension,Human Capital,23.30293382
Senegal,2021,dimension,Infrastructure,28.79071352
Senegal,2021,dimension,Data Availability,33.98732352
Rwanda,2021,overall,Overall,35.15812223
Rwanda,2021,pillar,Government,44.43941931
Rwanda,2021,pillar,Technology Sector,27.02921825
Rwanda,2021,pillar,Data and Infrastructure,34.00572912
Rwanda,2021,dimension,Vision,0.0
Rwanda,2021,dimension,Governance and Ethics,47.9694
Rwanda,2021,dimension,Digital Capacity,64.370275
Rwanda,2021,dimension,Adaptability,65.41800222
Rwanda,2021,dimension,Maturity,8.728454267
Rwanda,2021,dimension,Innovation Capacity,52.30020515
Rwanda,2021,dimension,Human Capital,20.05899535
Rwanda,2021,dimension,Infrastructure,26.34811806
Rwanda,2021,dimension,Data Availability,43.13443843
Nigeria,2021,overall,Overall,35.15364591
Nigeria,2021,pillar,Government,35.53463833
