country,profile_r_to_AU,cosine_to_AU,distance_to_AU,rank
Rwanda,0.5740484245743744,0.8329801728485934,2.434442534378354,1
Côte d'Ivoire,0.42551017278819886,-0.7045906798137148,7.633231606611448,2
South Africa,0.38136783708160027,0.10247028916775032,2.4953251818371194,3
Mauritius,0.21376580419283908,0.6379836226628296,2.7546265561037218,4
Nigeria,0.19568543719106588,0.6359264974877338,2.0555817470605313,5
Egypt,0.05109138045352305,0.6196459062709185,2.2170588212644793,6
Senegal,-0.1558478323040454,-0.732048683966163,4.389240928471741,7
Ghana,-0.2216092582350013,0.02863783855478901,2.4678627418844874,8
Morocco,-0.22381297221958993,-0.612518535287037,3.56799569196425,9
Kenya,-0.2791612955134641,0.22928706170034457,1.917533497546725,10
Zimbabwe,-0.28307764495594934,0.22306945808231854,2.0507863019800694,11
Benin,-0.6033983254032436,-0.7707831102824675,4.013326432414757,12
