country,n_words,timelines_count,timelines_density,budget_count,budget_density,agencies_count,agencies_density,regulatory_count,regulatory_density,monitoring_count,monitoring_density,implementation_count,implementation_density,timelines_norm,timelines_covered,budget_norm,budget_covered,agencies_norm,agencies_covered,regulatory_norm,regulatory_covered,monitoring_norm,monitoring_covered,implementation_norm,implementation_covered,operationalization_index,focus_index
Rwanda,4646.0,77.0,16.57339647008179,15.0,3.228583727938011,33.0,7.102884201463625,6.0,1.2914334911752046,16.0,3.4438226431338785,22.0,4.735256134309083,1.0,1,0.4849862166731344,1,1.0,1,0.020728927177450444,0,1.0,1,1.0,1,0.8333333333333334,0.7509525239750975
Zimbabwe,20748.0,92.0,4.434162328899171,73.0,3.518411413148255,69.0,3.3256217466743783,44.0,2.120686331212647,45.0,2.1688837478311163,39.0,1.8796992481203008,0.1843446524784337,0,0.5569520827504536,1,0.41529650830880016,1,0.11593916109345725,1,0.6165365084129916,1,0.3232452351370948,1,0.8333333333333334,0.36871902469687184
Nigeria,22619.0,143.0,6.322118572881206,91.0,4.023166364560767,34.0,1.5031610592864406,47.0,2.07789911136655,12.0,0.530527432689332,48.0,2.122109730757328,0.3111995749868035,1,0.6822856139790735,1,0.13318766886753158,0,0.11102656868077579,0,0.12376792524202941,1,0.38069548239736917,1,0.6666666666666666,0.29036047235893053
Tanzania,19598.0,83.0,4.235126033268701,48.0,2.4492295132156343,45.0,2.296152668639657,59.0,3.0105112766608837,24.0,1.2246147566078172,44.0,2.245127053780998,0.1709710724820551,0,0.2914681233177017,0,0.2559392564048927,1,0.21810394981651945,1,0.3325286350114654,1,0.40985006163885024,1,0.6666666666666666,0.27981018311191413
Benin,15342.0,151.0,9.8422630687003,28.0,1.8250554034676052,27.0,1.7598748533437623,42.0,2.737583105201408,13.0,0.8473471516099595,24.0,1.564333202972233,0.5477239428892857,1,0.13648213445859111,0,0.17292582673905987,1,0.18676784363477708,1,0.21905782193317103,1,0.24850483169348594,0,0.6666666666666666,0.25191040022472844
South Africa,23522.0,147.0,6.24946858260352,30.0,1.2754017515517388,28.0,1.1903749681149562,231.0,9.820593486948388,3.0,0.12754017515517388,55.0,2.338236544511521,0.3063181012152126,1,0.0,0,0.08476976784809788,0,1.0,1,0.0025614098486587316,0,0.4319166125839937,1,0.5,0.3042609819159938
Ethiopia,81495.0,600.0,7.362414872078042,342.0,4.196576477084483,173.0,2.122829621449169,155.0,1.9019571752868274,37.0,0.4540155837781459,99.0,1.2147984538928769,0.38109881488762726,1,0.7253443332497387,1,0.22910961666028257,1,0.0908258867162387,0,0.10075544924074327,0,0.16566659160493744,0,0.5,0.2821334487265947
Egypt,24893.0,129.0,5.182179729241152,132.0,5.302695536897923,16.0,0.6427509741694453,56.0,2.249628409593058,9.0,0.36154742297031295,32.0,1.2855019483388905,0.2346051866712999,1,1.0,1,0.0,0,0.13074357881925086,1,0.07294379180787447,0,0.1824230172920685,0,0.5,0.27011926243174894
Ghana,28514.0,77.0,2.700427859998597,82.0,2.8757803184400643,139.0,4.874798344672793,74.0,2.5952163849337166,15.0,0.526057375324402,40.0,1.4028196675317388,0.06785214773764871,0,0.39738311933226833,0,0.655102181580849,1,0.17042208262667544,1,0.1224234656674839,0,0.2102268148107286,0,0.3333333333333333,0.27056830195927567
Côte d'Ivoire,15189.0,86.0,5.661992231219962,34.0,2.238462044900915,18.0,1.1850681414181314,23.0,1.5142537362565014,15.0,0.9875567845151096,25.0,1.6459279741918493,0.266844587320062,1,0.23913335969017022,0,0.08394829458893918,0,0.0463119178301618,0,0.26122868642403263,1,0.26784244337891583,0,0.3333333333333333,0.19421821487204693
African Union,22139.0,55.0,2.4843037174217444,75.0,3.3876868873932877,23.0,1.038890645467275,50.0,2.2584579249288588,6.0,0.27101495099146306,27.0,1.2195672794615837,0.053330406862474374,0,0.5244924379560696,1,0.06132066589960289,0,0.13175733503436204,1,0.04571433168636117,0,0.1667967828618624,0,0.3333333333333333,0.16390199338345543
Kenya,25228.0,55.0,2.180117329950848,52.0,2.0612018392262565,39.0,1.5459013794196923,47.0,1.8630093546852704,8.0,0.31710797526557793,47.0,1.8630093546852704,0.0328916171745664,0,0.19511864034696208,0,0.13980368105017096,1,0.08635411293271392,0,0.05957773493735346,0,0.31928980179873606,1,0.3333333333333333,0.13883926470675045
Morocco,13307.0,43.0,3.2313819794093335,31.0,2.329600961899752,19.0,1.4278199443901707,23.0,1.7284136168933644,5.0,0.3757420906289923,23.0,1.7284136168933644,0.10352783878612704,0,0.2617636722167748,0,0.12152519810331384,0,0.0709005732394567,0,0.07721312333612922,0,0.287391187794067,1,0.16666666666666666,0.15372026557931143
Senegal,44363.0,75.0,1.6905980208732503,78.0,1.7582219417081801,53.0,1.1946892680837635,68.0,1.5328088722584134,26.0,0.5860739805693934,75.0,1.6905980208732503,0.0,0,0.11988700499408395,0,0.08543760236745103,0,0.04844231612823166,0,0.14047466567811526,1,0.27842905332687395,0,0.16666666666666666,0.11211177374912597
Mauritius,25205.0,48.0,1.9043840507835748,91.0,3.6103947629438604,17.0,0.6744693513191827,28.0,1.1108906962904186,3.0,0.11902400317397342,13.0,0.5157706804205515,0.014364639193356375,0,0.5797920727532438,1,0.004909864244862125,0,0.0,0,0.0,0,0.0,0,0.16666666666666666,0.09984442936524374
